op,batch,vocab,dtype,splits,blocks,median_us,p05_us,p95_us,mean_us,stdev_us,reps,iters,warmup,logits_bytes,dram_floor_us,floor_frac_of_latency,git_commit,round
fused_k50,8,151936,bfloat16,20,160,24.607,24.606,24.608,24.607,0.001,5,4719,471,2430976,4.399,0.178756,d544983-dirty,0
fused_k100,8,151936,bfloat16,1,8,62.302,59.502,62.324,61.525,1.465,5,2058,205,2430976,4.399,0.070601,d544983-dirty,0
fused_k100,8,151936,bfloat16,2,16,40.811,40.783,40.853,40.814,0.031,5,2911,291,2430976,4.399,0.107781,d544983-dirty,0
fused_k100,8,151936,bfloat16,4,32,32.011,31.981,32.033,32.010,0.023,5,3711,371,2430976,4.399,0.137409,d544983-dirty,0
fused_k100,8,151936,bfloat16,8,64,29.328,29.313,29.346,29.327,0.015,5,4036,403,2430976,4.399,0.149983,d544983-dirty,0
fused_k20,16,151936,bfloat16,1,16,57.333,57.319,57.335,57.328,0.008,5,2076,207,4861952,8.797,0.153442,d544983-dirty,0
fused_k20,16,151936,bfloat16,2,32,34.822,34.815,34.832,34.823,0.008,5,3444,344,4861952,8.797,0.252637,d544983-dirty,0
fused_k20,16,151936,bfloat16,4,64,23.233,23.230,23.435,23.283,0.112,5,4856,485,4861952,8.797,0.378660,d544983-dirty,0
fused_k20,16,151936,bfloat16,8,128,20.596,20.539,20.612,20.583,0.033,5,5000,500,4861952,8.797,0.427132,d544983-dirty,0
fused_k20,16,151936,bfloat16,16,256,24.633,24.629,24.634,24.632,0.002,5,4807,480,4861952,8.797,0.357140,d544983-dirty,0
fused_k20,16,151936,bfloat16,20,320,24.612,24.611,24.612,24.612,0.001,5,4807,480,4861952,8.797,0.357436,d544983-dirty,0
fused_k20,16,151936,bfloat16,32,512,30.722,30.677,30.724,30.708,0.023,5,3853,385,4861952,8.797,0.286351,d544983-dirty,0
fused_k50,16,151936,bfloat16,1,16,55.688,55.661,55.738,55.690,0.036,5,2155,215,4861952,8.797,0.157974,d544983-dirty,0
fused_k50,16,151936,bfloat16,2,32,34.907,34.890,34.934,34.908,0.020,5,3418,341,4861952,8.797,0.252019,d544983-dirty,0
fused_k50,16,151936,bfloat16,4,64,26.315,26.302,26.323,26.312,0.010,5,4491,449,4861952,8.797,0.334310,d544983-dirty,0
fused_k50,16,151936,bfloat16,8,128,24.918,24.522,24.990,24.835,0.228,5,4980,498,4861952,8.797,0.353053,d544983-dirty,0
fused_k50,16,151936,bfloat16,16,256,30.380,30.366,30.440,30.395,0.034,5,3844,384,4861952,8.797,0.289577,d544983-dirty,0
fused_k50,16,151936,bfloat16,20,320,28.913,28.889,28.946,28.919,0.026,5,4110,411,4861952,8.797,0.304270,d544983-dirty,0
fused_k100,16,151936,bfloat16,1,16,58.943,58.891,58.986,58.934,0.043,5,2063,206,4861952,8.797,0.149251,d544983-dirty,0
fused_k100,16,151936,bfloat16,2,32,38.631,38.613,38.647,38.631,0.014,5,3081,308,4861952,8.797,0.227726,d544983-dirty,0
fused_k100,16,151936,bfloat16,4,64,29.565,29.555,29.567,29.562,0.006,5,4087,408,4861952,8.797,0.297559,d544983-dirty,0
fused_k100,16,151936,bfloat16,8,128,30.837,30.836,30.846,30.840,0.005,5,3856,385,4861952,8.797,0.285279,d544983-dirty,0
fused_k20,32,151936,bfloat16,1,32,53.741,53.725,53.758,53.741,0.014,5,2218,221,9723904,17.595,0.327397,d544983-dirty,0
fused_k20,32,151936,bfloat16,2,64,32.984,32.837,33.056,32.959,0.100,5,3620,362,9723904,17.595,0.533432,d544983-dirty,0
fused_k20,32,151936,bfloat16,4,128,29.122,29.114,29.144,29.127,0.014,5,4181,418,9723904,17.595,0.604166,d544983-dirty,0
fused_k20,32,151936,bfloat16,8,256,30.481,30.472,30.517,30.489,0.021,5,4005,400,9723904,17.595,0.577227,d544983-dirty,0
fused_k20,32,151936,bfloat16,16,512,34.877,34.872,34.885,34.878,0.006,5,3409,340,9723904,17.595,0.504474,d544983-dirty,0
fused_k20,32,151936,bfloat16,20,640,35.049,35.024,35.089,35.055,0.028,5,3410,341,9723904,17.595,0.501993,d544983-dirty,0
fused_k20,32,151936,bfloat16,32,1024,44.773,44.760,44.798,44.775,0.017,5,2659,265,9723904,17.595,0.392971,d544983-dirty,0
fused_k50,32,151936,bfloat16,1,32,56.162,56.135,56.262,56.177,0.063,5,2151,215,9723904,17.595,0.313283,d544983-dirty,0
fused_k50,32,151936,bfloat16,2,64,35.396,34.980,35.481,35.281,0.234,5,3410,341,9723904,17.595,0.497079,d544983-dirty,0
fused_k50,32,151936,bfloat16,4,128,32.187,32.180,32.199,32.189,0.009,5,3718,371,9723904,17.595,0.546627,d544983-dirty,0
fused_k50,32,151936,bfloat16,8,256,34.605,34.594,34.615,34.605,0.009,5,3486,348,9723904,17.595,0.508434,d544983-dirty,0
fused_k50,32,151936,bfloat16,16,512,41.468,41.449,41.474,41.465,0.012,5,2935,293,9723904,17.595,0.424293,d544983-dirty,0
fused_k50,32,151936,bfloat16,20,640,41.689,41.668,41.703,41.687,0.016,5,2890,289,9723904,17.595,0.422045,d544983-dirty,0
fused_k100,32,151936,bfloat16,1,32,59.627,59.610,59.748,59.652,0.070,5,2013,201,9723904,17.595,0.295074,d544983-dirty,0
fused_k100,32,151936,bfloat16,2,64,39.533,39.061,39.646,39.392,0.271,5,3065,306,9723904,17.595,0.445058,d544983-dirty,0
fused_k100,32,151936,bfloat16,4,128,36.451,36.420,36.455,36.444,0.017,5,3263,326,9723904,17.595,0.482684,d544983-dirty,0
fused_k100,32,151936,bfloat16,8,256,40.811,40.803,40.875,40.826,0.036,5,2961,296,9723904,17.595,0.431125,d544983-dirty,0
fused_k20,1,151936,bfloat16,1,1,52.421,52.389,52.478,52.429,0.039,5,2263,226,303872,0.550,0.010489,d544983-dirty,1
fused_k20,1,151936,bfloat16,2,2,32.632,32.629,32.649,32.636,0.010,5,3639,363,303872,0.550,0.016849,d544983-dirty,1
fused_k20,1,151936,bfloat16,4,4,22.745,22.731,22.762,22.746,0.014,5,5000,500,303872,0.550,0.024174,d544983-dirty,1
fused_k20,1,151936,bfloat16,8,8,18.463,18.459,18.468,18.464,0.004,5,5000,500,303872,0.550,0.029780,d544983-dirty,1
fused_k20,1,151936,bfloat16,16,16,16.414,16.407,16.444,16.420,0.018,5,5000,500,303872,0.550,0.033498,d544983-dirty,1
fused_k20,1,151936,bfloat16,20,20,15.507,15.500,15.510,15.506,0.005,5,5000,500,303872,0.550,0.035456,d544983-dirty,1
fused_k20,1,151936,bfloat16,32,32,18.484,18.481,18.486,18.483,0.003,5,5000,500,303872,0.550,0.029747,d544983-dirty,1
fused_k50,1,151936,bfloat16,1,1,53.721,53.709,53.727,53.720,0.009,5,2244,224,303872,0.550,0.010235,d544983-dirty,1
fused_k50,1,151936,bfloat16,2,2,34.833,34.826,34.838,34.832,0.005,5,3368,336,303872,0.550,0.015785,d544983-dirty,1
fused_k50,1,151936,bfloat16,4,4,24.812,24.797,24.814,24.809,0.008,5,4816,481,303872,0.550,0.022160,d544983-dirty,1
fused_k50,1,151936,bfloat16,8,8,20.529,20.526,20.549,20.534,0.011,5,5000,500,303872,0.550,0.026783,d544983-dirty,1
fused_k50,1,151936,bfloat16,16,16,22.223,22.213,22.242,22.225,0.013,5,5000,500,303872,0.550,0.024742,d544983-dirty,1
fused_k50,1,151936,bfloat16,20,20,20.221,20.210,20.240,20.223,0.013,5,5000,500,303872,0.550,0.027190,d544983-dirty,1
fused_k100,1,151936,bfloat16,1,1,56.117,56.113,56.162,56.128,0.025,5,2147,214,303872,0.550,0.009798,d544983-dirty,1
fused_k100,1,151936,bfloat16,2,2,36.913,36.911,36.920,36.915,0.004,5,3227,322,303872,0.550,0.014895,d544983-dirty,1
fused_k100,1,151936,bfloat16,4,4,28.137,28.126,28.156,28.139,0.014,5,4214,421,303872,0.550,0.019541,d544983-dirty,1
fused_k100,1,151936,bfloat16,8,8,25.175,25.168,25.183,25.176,0.007,5,4666,466,303872,0.550,0.021840,d544983-dirty,1
fused_k20,4,151936,bfloat16,1,4,53.058,53.045,53.080,53.062,0.016,5,2235,223,1215488,2.199,0.041451,d544983-dirty,1
